Unit of measure,Pharmaceutical,TIME_PERIOD,OBS_VALUE
Defined daily doses per 1 000 inhabitants per day,Diuretics,2018,24.9
Defined daily doses per 1 000 inhabitants per day,Diuretics,2017,25.2
Defined daily doses per 1 000 inhabitants per day,Diuretics,2016,25.2
Defined daily doses per 1 000 inhabitants per day,Diuretics,2015,25.7
Defined daily doses per 1 000 inhabitants per day,Diuretics,2014,26.1
Defined daily doses per 1 000 inhabitants per day,Diuretics,2013,26.3
Defined daily doses per 1 000 inhabitants per day,Diuretics,2012,26.3
Defined daily doses per 1 000 inhabitants per day,Diuretics,2011,26.3
Defined daily doses per 1 000 inhabitants per day,Diuretics,2010,26.6
Defined daily doses per 1 000 inhabitants per day,Diuretics,2021,25.2
Defined daily doses per 1 000 inhabitants per day,Diuretics,2020,25.3
Defined daily doses per 1 000 inhabitants per day,Analgesics,2018,17.2
Defined daily doses per 1 000 inhabitants per day,Analgesics,2017,17.5
Defined daily doses per 1 000 inhabitants per day,Analgesics,2016,18.3
Defined daily doses per 1 000 inhabitants per day,Analgesics,2015,45.1
Defined daily doses per 1 000 inhabitants per day,Analgesics,2014,43.2
Defined daily doses per 1 000 inhabitants per day,Analgesics,2013,42.4
Defined daily doses per 1 000 inhabitants per day,Analgesics,2012,40.9
Defined daily doses per 1 000 inhabitants per day,Analgesics,2011,38.3
Defined daily doses per 1 000 inhabitants per day,Analgesics,2010,34.4
Defined daily doses per 1 000 inhabitants per day,Analgesics,2021,15.4
Defined daily doses per 1 000 inhabitants per day,Analgesics,2020,16
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2018,48.8
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2017,46
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2016,44.7
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2015,43.5
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2014,42.2
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2013,41.4
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2012,66.3
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2011,61.3
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2010,40.2
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2021,52.4
Defined daily doses per 1 000 inhabitants per day,Musculo-skeletal system,2020,51.2
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2018,2.1
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2017,2
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2016,2
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2015,2
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2014,1.9
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2013,1.9
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2012,1.9
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2011,1.9
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2010,1.8
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2021,2.3
Defined daily doses per 1 000 inhabitants per day,"Antiarrhythmics, Class I and III",2020,2.2
Defined daily doses per 1 000 inhabitants per day,Antiinflammatory and antirheumatic products non-steroids,2016,21.6
Defined daily doses per 1 000 inhabitants per day,Antiinflammatory and antirheumatic products non-steroids,2015,22
