financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
1997-98,NSW,Administration,Government,315
1997-98,NSW,Administration,Government,120
1997-98,NSW,Administration,Non-government,314
1997-98,NSW,Aids and appliances,Government,65
1997-98,NSW,Aids and appliances,Non-government,168
1997-98,NSW,Aids and appliances,Non-government,18
1997-98,NSW,Aids and appliances,Non-government,78
1997-98,NSW,All other medications,Government,5
1997-98,NSW,All other medications,Non-government,559
1997-98,NSW,All other medications,Non-government,16
1997-98,NSW,All other medications,Non-government,16
1997-98,NSW,Benefit-paid pharmaceuticals,Government,1068
1997-98,NSW,Benefit-paid pharmaceuticals,Non-government,221
1997-98,NSW,Capital expenditure,Government,19
1997-98,NSW,Capital expenditure,Government,420
1997-98,NSW,Capital expenditure,Non-government,464
1997-98,NSW,Community health,Government,225
1997-98,NSW,Community health,Government,504
1997-98,NSW,Community health,Non-government,1
1997-98,NSW,Dental services,Government,60
1997-98,NSW,Dental services,Government,156
1997-98,NSW,Dental services,Non-government,1023
1997-98,NSW,Dental services,Non-government,6
1997-98,NSW,Dental services,Non-government,351
1997-98,NSW,Medical expense tax rebate,Government,84
1997-98,NSW,Medical expense tax rebate,Non-government,-84
1997-98,NSW,Medical services,Government,4298
1997-98,NSW,Medical services,Non-government,522
1997-98,NSW,Medical services,Non-government,322
1997-98,NSW,Medical services,Non-government,112
1997-98,NSW,Other health practitioners,Government,129
1997-98,NSW,Other health practitioners,Non-government,485
1997-98,NSW,Other health practitioners,Non-government,99
1997-98,NSW,Other health practitioners,Non-government,119
1997-98,NSW,Patient transport services,Government,39
1997-98,NSW,Patient transport services,Government,169
1997-98,NSW,Patient transport services,Non-government,2
1997-98,NSW,Patient transport services,Non-government,27
1997-98,NSW,Patient transport services,Non-government,108
1997-98,NSW,Private hospitals,Government,286
1997-98,NSW,Private hospitals,Non-government,120
1997-98,NSW,Private hospitals,Non-government,264
1997-98,NSW,Private hospitals,Non-government,940
1997-98,NSW,Public health,Government,140
1997-98,NSW,Public health,Government,110
1997-98,NSW,Public hospitals,Government,2962
1997-98,NSW,Public hospitals,Government,4269
1997-98,NSW,Public hospitals,Non-government,21
1997-98,NSW,Public hospitals,Non-government,361
1997-98,NSW,Public hospitals,Non-government,212
1997-98,NSW,Research,Government,192
1997-98,NSW,Research,Government,46
1997-98,NSW,Research,Non-government,61
1997-98,VIC,Administration,Government,203
1997-98,VIC,Administration,Government,33
1997-98,VIC,Administration,Non-government,185
1997-98,VIC,Aids and appliances,Government,43
1997-98,VIC,Aids and appliances,Non-government,287
1997-98,VIC,Aids and appliances,Non-government,9
1997-98,VIC,Aids and appliances,Non-government,28
