financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
1997,NSW,Administration,Government,315
1997,NSW,Administration,Government,120
1997,NSW,Administration,Other,314
1997,NSW,Aids and appliances,Government,65
1997,NSW,Aids and appliances,Other,168
1997,NSW,Aids and appliances,Other,18
1997,NSW,Aids and appliances,Other,78
1997,NSW,All other medications,Government,5
1997,NSW,All other medications,Other,559
1997,NSW,All other medications,Other,16
1997,NSW,All other medications,Other,16
1997,NSW,Benefit,Government,1068
1997,NSW,Benefit,Other,221
1997,NSW,Capital expenditure,Government,19
1997,NSW,Capital expenditure,Government,420
1997,NSW,Capital expenditure,Other,464
1997,NSW,Community health,Government,225
1997,NSW,Community health,Government,504
1997,NSW,Community health,Other,1
1997,NSW,Dental services,Government,60
1997,NSW,Dental services,Government,156
1997,NSW,Dental services,Other,1023
1997,NSW,Dental services,Other,6
1997,NSW,Dental services,Other,351
1997,NSW,Medical expense tax rebate,Government,84
1997,NSW,Medical expense tax rebate,Other,
1997,NSW,Medical services,Government,4298
1997,NSW,Medical services,Other,522
1997,NSW,Medical services,Other,322
1997,NSW,Medical services,Other,112
1997,NSW,Other health practitioners,Government,129
1997,NSW,Other health practitioners,Other,485
1997,NSW,Other health practitioners,Other,99
1997,NSW,Other health practitioners,Other,119
1997,NSW,Patient transport services,Government,39
1997,NSW,Patient transport services,Government,169
1997,NSW,Patient transport services,Other,2
1997,NSW,Patient transport services,Other,27
1997,NSW,Patient transport services,Other,108
1997,NSW,Private hospitals,Government,286
1997,NSW,Private hospitals,Other,120
1997,NSW,Private hospitals,Other,264
1997,NSW,Private hospitals,Other,940
1997,NSW,Public health,Government,140
1997,NSW,Public health,Government,110
1997,NSW,Public hospitals,Government,2962
1997,NSW,Public hospitals,Government,4269
1997,NSW,Public hospitals,Other,21
1997,NSW,Public hospitals,Other,361
1997,NSW,Public hospitals,Other,212
1997,NSW,Research,Government,192
1997,NSW,Research,Government,46
1997,NSW,Research,Other,61
1997,VIC,Administration,Government,203
1997,VIC,Administration,Government,33
1997,VIC,Administration,Other,185
1997,VIC,Aids and appliances,Government,43
1997,VIC,Aids and appliances,Other,287
1997,VIC,Aids and appliances,Other,9
1997,VIC,Aids and appliances,Other,28
1997,VIC,All other medications,Government,3
1997,VIC,All other medications,Government,15
1997,VIC,All other medications,Other,620
1997,VIC,All other medications,Other,11
1997,VIC,All other medications,Other,3
1997,VIC,Benefit,Government,698
1997,VIC,Benefit,Other,149
1997,VIC,Capital expenditure,Government,14
1997,VIC,Capital expenditure,Government,318
1997,VIC,Capital expenditure,Other,178
1997,VIC,Community health,Government,174
1997,VIC,Community health,Government,318
1997,VIC,Community health,Other,0
1997,VIC,Dental services,Government,27
1997,VIC,Dental services,Government,66
1997,VIC,Dental services,Other,1005
1997,VIC,Dental services,Other,3
1997,VIC,Dental services,Other,146
1997,VIC,Medical expense tax rebate,Government,56
1997,VIC,Medical expense tax rebate,Other,
1997,VIC,Medical services,Government,2860
1997,VIC,Medical services,Other,365
1997,VIC,Medical services,Other,123
1997,VIC,Medical services,Other,96
1997,VIC,Other health practitioners,Government,90
1997,VIC,Other health practitioners,Other,566
1997,VIC,Other health practitioners,Other,67
1997,VIC,Other health practitioners,Other,63
1997,VIC,Patient transport services,Government,9
1997,VIC,Patient transport services,Government,102
1997,VIC,Patient transport services,Other,65
1997,VIC,Patient transport services,Other,12
1997,VIC,Patient transport services,Other,10
1997,VIC,Private hospitals,Government,201
1997,VIC,Private hospitals,Other,150
1997,VIC,Private hospitals,Other,228
1997,VIC,Private hospitals,Other,922
1997,VIC,Public health,Government,89
1997,VIC,Public health,Government,265
1997,VIC,Public hospitals,Government,1983
1997,VIC,Public hospitals,Government,2202
1997,VIC,Public hospitals,Other,84
1997,VIC,Public hospitals,Other,275
1997,VIC,Public hospitals,Other,92
1997,VIC,Research,Government,209
1997,VIC,Research,Government,57
1997,VIC,Research,Other,76
1997,QLD,Administration,Government,157
1997,QLD,Administration,Government,26
1997,QLD,Administration,Other,125
1997,QLD,Aids and appliances,Government,34
1997,QLD,Aids and appliances,Other,230
1997,QLD,Aids and appliances,Other,1
1997,QLD,Aids and appliances,Other,28
1997,QLD,All other medications,Government,2
1997,QLD,All other medications,Other,490
1997,QLD,All other medications,Other,1
1997,QLD,All other medications,Other,6
1997,QLD,Benefit,Government,506
1997,QLD,Benefit,Other,109
1997,QLD,Capital expenditure,Government,10
1997,QLD,Capital expenditure,Government,610
1997,QLD,Capital expenditure,Other,223
1997,QLD,Community health,Government,148
1997,QLD,Community health,Government,757
1997,QLD,Community health,Other,0
1997,QLD,Dental services,Government,29
1997,QLD,Dental services,Government,157
1997,QLD,Dental services,Other,246
1997,QLD,Dental services,Other,2
1997,QLD,Dental services,Other,133
1997,QLD,Medical expense tax rebate,Government,34
1997,QLD,Medical expense tax rebate,Other,
1997,QLD,Medical services,Government,2107
1997,QLD,Medical services,Other,338
1997,QLD,Medical services,Other,53
1997,QLD,Medical services,Other,67
1997,QLD,Other health practitioners,Government,69
1997,QLD,Other health practitioners,Other,259
1997,QLD,Other health practitioners,Other,24
1997,QLD,Other health practitioners,Other,53
1997,QLD,Patient transport services,Government,38
1997,QLD,Patient transport services,Government,104
1997,QLD,Patient transport services,Other,109
1997,QLD,Patient transport services,Other,4
1997,QLD,Patient transport services,Other,14
1997,QLD,Private hospitals,Government,292
1997,QLD,Private hospitals,Other,7
1997,QLD,Private hospitals,Other,188
1997,QLD,Private hospitals,Other,689
1997,QLD,Public health,Government,68
1997,QLD,Public health,Government,87
1997,QLD,Public hospitals,Government,1610
1997,QLD,Public hospitals,Government,1749
1997,QLD,Public hospitals,Other,20
1997,QLD,Public hospitals,Other,75
1997,QLD,Public hospitals,Other,53
1997,QLD,Research,Government,97
1997,QLD,Research,Government,20
1997,QLD,Research,Other,27
1997,WA,Administration,Government,79
1997,WA,Administration,Government,308
1997,WA,Administration,Other,74
1997,WA,Aids and appliances,Government,18
1997,WA,Aids and appliances,Other,90
1997,WA,Aids and appliances,Other,4
1997,WA,Aids and appliances,Other,18
1997,WA,All other medications,Government,1
1997,WA,All other medications,Other,224
1997,WA,All other medications,Other,5
1997,WA,All other medications,Other,3
1997,WA,Benefit,Government,231
1997,WA,Benefit,Other,53
1997,WA,Capital expenditure,Government,5
1997,WA,Capital expenditure,Government,85
1997,WA,Capital expenditure,Other,249
1997,WA,Community health,Government,111
1997,WA,Community health,Government,209
1997,WA,Community health,Other,0
1997,WA,Dental services,Government,19
1997,WA,Dental services,Government,53
1997,WA,Dental services,Other,75
1997,WA,Dental services,Other,2
1997,WA,Dental services,Other,136
1997,WA,Medical expense tax rebate,Government,15
1997,WA,Medical expense tax rebate,Other,
1997,WA,Medical services,Government,1058
1997,WA,Medical services,Other,109
1997,WA,Medical services,Other,89
1997,WA,Medical services,Other,31
1997,WA,Other health practitioners,Government,33
1997,WA,Other health practitioners,Other,64
1997,WA,Other health practitioners,Other,38
1997,WA,Other health practitioners,Other,46
1997,WA,Patient transport services,Government,31
1997,WA,Patient transport services,Government,28
1997,WA,Patient transport services,Other,2
1997,WA,Patient transport services,Other,4
1997,WA,Patient transport services,Other,18
1997,WA,Private hospitals,Government,101
1997,WA,Private hospitals,Other,26
1997,WA,Private hospitals,Other,93
1997,WA,Private hospitals,Other,316
1997,WA,Public health,Government,36
1997,WA,Public health,Government,87
1997,WA,Public hospitals,Government,888
1997,WA,Public hospitals,Government,1058
1997,WA,Public hospitals,Other,19
1997,WA,Public hospitals,Other,81
1997,WA,Public hospitals,Other,41
1997,WA,Research,Government,64
1997,WA,Research,Government,10
1997,WA,Research,Other,14
1997,SA,Administration,Government,75
1997,SA,Administration,Government,117
1997,SA,Administration,Other,90
1997,SA,Aids and appliances,Government,18
1997,SA,Aids and appliances,Other,38
1997,SA,Aids and appliances,Other,3
1997,SA,Aids and appliances,Other,19
1997,SA,All other medications,Government,2
1997,SA,All other medications,Other,137
1997,SA,All other medications,Other,2
1997,SA,All other medications,Other,3
1997,SA,Benefit,Government,238
1997,SA,Benefit,Other,50
1997,SA,Capital expenditure,Government,6
1997,SA,Capital expenditure,Government,154
1997,SA,Capital expenditure,Other,87
1997,SA,Community health,Government,83
1997,SA,Community health,Government,22
1997,SA,Community health,Other,0
1997,SA,Dental services,Government,14
1997,SA,Dental services,Government,45
1997,SA,Dental services,Other,125
1997,SA,Dental services,Other,1
1997,SA,Dental services,Other,86
1997,SA,Medical expense tax rebate,Government,12
1997,SA,Medical expense tax rebate,Other,
1997,SA,Medical services,Government,848
1997,SA,Medical services,Other,76
1997,SA,Medical services,Other,105
1997,SA,Medical services,Other,33
1997,SA,Other health practitioners,Government,28
1997,SA,Other health practitioners,Other,33
1997,SA,Other health practitioners,Other,26
1997,SA,Other health practitioners,Other,40
1997,SA,Patient transport services,Government,19
1997,SA,Patient transport services,Government,29
1997,SA,Patient transport services,Other,36
1997,SA,Patient transport services,Other,8
1997,SA,Patient transport services,Other,5
1997,SA,Private hospitals,Government,44
1997,SA,Private hospitals,Other,13
1997,SA,Private hospitals,Other,41
1997,SA,Private hospitals,Other,308
1997,SA,Public health,Government,32
1997,SA,Public health,Government,39
1997,SA,Public hospitals,Government,950
1997,SA,Public hospitals,Government,683
1997,SA,Public hospitals,Other,8
1997,SA,Public hospitals,Other,29
1997,SA,Public hospitals,Other,31
1997,SA,Research,Government,75
1997,SA,Research,Government,14
1997,SA,Research,Other,20
1997,TAS,Administration,Government,21
1997,TAS,Administration,Government,7
1997,TAS,Administration,Other,22
1997,TAS,Aids and appliances,Government,5
1997,TAS,Aids and appliances,Other,28
1997,TAS,Aids and appliances,Other,1
